Date,Open,High,Low,Close,Adj Close,Volume
26-07-2018,1974.949951,1985,1955.099976,1964.699951,1846.001709,3503036
27-07-2018,1960.849976,1964.650024,1940.300049,1943.75,1826.317505,2033977
30-07-2018,1943,1954.699951,1931.550049,1944.599976,1827.116089,1579251
31-07-2018,1942,1947,1928,1940.199951,1822.982056,2204803
01-08-2018,1949.949951,1981.550049,1949.800049,1976.5,1857.088989,2425180
02-08-2018,1980,1985,1945,1948.400024,1830.686768,1509287
03-08-2018,1956.5,1982.050049,1956.5,1979.449951,1859.860596,1505131
06-08-2018,1997,1998.949951,1972.25,1975.550049,1856.196411,1532249
07-08-2018,1978.199951,1979.150024,1960.5,1967.349976,1848.491577,1353521
08-08-2018,1972,1978.300049,1962,1974,1854.73999,1315062
09-08-2018,1980,1980.800049,1966,1974.349976,1855.068726,2060297
10-08-2018,1980.949951,1996.5,1972.050049,1993.099976,1872.685913,2784105
13-08-2018,1997.800049,2004.25,1990,2000.150024,1879.310181,3559575
14-08-2018,1992,2024.599976,1982.400024,2003.550049,1882.504883,3311765
16-08-2018,2000.300049,2020.050049,1995,2008.5,1887.155762,2152065
17-08-2018,2013.849976,2021.900024,2004,2012.75,1891.148804,1213731
20-08-2018,2024,2024,2003.699951,2009.949951,1888.518066,1587032
21-08-2018,2010.150024,2024,2004,2017.650024,1895.75293,1376866
23-08-2018,2022.800049,2038,2020.300049,2035.099976,1912.148682,3046791
24-08-2018,2035.099976,2046,2031,2043,1919.571533,1570533
27-08-2018,2043,2059,2035,2050.899902,1926.993652,1532702
28-08-2018,2055,2072,2052,2069.199951,1944.18811,1987983
29-08-2018,2072.5,2076.600098,2045.599976,2072,1946.819214,1525867
30-08-2018,2068,2085,2065.5,2082.399902,1956.590698,2408020
31-08-2018,2082.300049,2092,2074,2078.399902,1952.832764,2504554
03-09-2018,2084.800049,2090,2048.399902,2052.899902,1928.873047,1439711
04-09-2018,2059.800049,2104.75,2056.949951,2098.899902,1972.094116,4420803
05-09-2018,2100,2107.25,2075.050049,2079.25,1953.631348,1681106
06-09-2018,2075,2081.5,2060.300049,2075.300049,1949.919922,2238097
07-09-2018,2079.300049,2084,2065.399902,2079.850098,1954.194946,1312182
10-09-2018,2084.399902,2093.399902,2074.25,2080.75,1955.040771,1530539
11-09-2018,2089,2089,2042.199951,2046.25,1922.625,3679745
12-09-2018,2052.350098,2068.899902,2040,2043.949951,1920.463867,2307661
14-09-2018,2044,2071.550049,2018.150024,2065.399902,1940.61792,3642038
17-09-2018,2070,2077.800049,2054.550049,2074.149902,1948.839111,1033857
18-09-2018,2073,2078.800049,2057.600098,2070.75,1945.644531,1456507
19-09-2018,2071.899902,2089,2066.850098,2077.899902,1952.362549,1301268
21-09-2018,2077,2121,2050.149902,2103.149902,1976.08728,4508530
24-09-2018,2115,2210.5,2098.149902,2198.449951,2065.629395,3032226
25-09-2018,2204.899902,2211.899902,2153.800049,2183.199951,2051.30127,2868778
26-09-2018,2187,2199,2135.100098,2142.149902,2012.730591,1970951
27-09-2018,2141.899902,2209.699951,2135.800049,2188.850098,2056.609375,3311802
28-09-2018,2178,2190,2158.850098,2183.699951,2051.770752,2904371
01-10-2018,2190.899902,2275.949951,2190.350098,2255.550049,2119.280273,3772208
03-10-2018,2250.300049,2255,2155.600098,2162.850098,2032.180542,3902322
04-10-2018,2156.600098,2156.649902,2056.350098,2064.800049,1940.054443,4762419
05-10-2018,2050,2120,2020.900024,2102.649902,1975.617432,3417624
08-10-2018,2102.649902,2122.199951,2048.149902,2077.550049,1952.033813,2010154
09-10-2018,2080.350098,2107.649902,2053.199951,2091.800049,1965.423218,1867130
10-10-2018,2100,2105.949951,2029,2043.599976,1920.134888,2749573
11-10-2018,1985,2013,1941,1979.949951,1860.330444,4700256
12-10-2018,1978,1978,1903,1918.300049,1802.405029,9373289
15-10-2018,1940,1955.550049,1920,1949.5,1831.720093,2638151
16-10-2018,1958,1971.900024,1935,1962.300049,1843.746826,2815425
17-10-2018,1970,1989,1920,1929.400024,1812.834473,2779207
19-10-2018,1929,1929,1870.050049,1913.199951,1797.613281,3428776
22-10-2018,1914,1916,1886.949951,1903,1788.029541,1778496
23-10-2018,1888,1898,1837,1843.650024,1735.91394,2752811
24-10-2018,1852.050049,1874,1811.099976,1848.5,1740.480347,2735913
25-10-2018,1844,1876.900024,1825.050049,1853,1744.717651,2507233
26-10-2018,1853.900024,1853.900024,1791.099976,1799.099976,1693.967285,2285970
29-10-2018,1808.699951,1877.949951,1784.349976,1871,1761.665649,2609483
30-10-2018,1867,1909.400024,1845,1894.800049,1784.074951,2404883
31-10-2018,1900,1943.900024,1875.449951,1938.150024,1824.891846,2769190
01-11-2018,1943.650024,1944.349976,1901.300049,1935.75,1822.631836,2769759
02-11-2018,1934.199951,1954.599976,1905,1913.449951,1801.63501,1818635
05-11-2018,1910,1927.349976,1884.75,1890.849976,1780.355713,1713366
06-11-2018,1894,1937.5,1891,1932.699951,1819.760132,1398710
07-11-2018,1940,1949,1937,1942.150024,1828.657959,144530
09-11-2018,1961,1961.949951,1905,1909.199951,1797.633179,2570479
12-11-2018,1908.5,1946.099976,1908.5,1914.849976,1802.953247,2552008
13-11-2018,1915,1939,1903,1934.949951,1821.878662,1418432
14-11-2018,1925,1929.900024,1870,1880.650024,1770.751831,2422318
15-11-2018,1864,1899,1857.599976,1872.849976,1763.407593,1829123
16-11-2018,1889,1899.800049,1870.25,1886.599976,1776.354126,1829729
19-11-2018,1899,1907.349976,1864.300049,1902.449951,1791.277832,1740628
20-11-2018,1902,1902,1874.199951,1878.25,1768.492065,1190182
21-11-2018,1871,1871.050049,1798.550049,1812,1706.113403,3840461
22-11-2018,1820,1847.599976,1809.949951,1812.550049,1706.630981,3194219
